Frecuencia, Magnitud
0.000000000000000000e+00,1.129336391344251851e-02
8.330541644078615429e-03,3.999203932026787131e-03
1.666108328815723086e-02,2.152802869950721804e-03
2.499162493223584802e-02,2.440503256102418469e-03
3.332216657631446172e-02,5.839432303060070831e-04
4.165270822039307541e-02,1.571878095515511159e-03
4.998324986447169604e-02,2.284466236538412742e-03
5.831379150855030974e-02,6.650107920198580682e-04
6.664433315262892343e-02,4.772378908790765486e-04
7.497487479670753019e-02,1.095878835570833525e-04
8.330541644078615082e-02,4.823452660898606124e-04
9.163595808486475758e-02,1.079348593492021309e-03
9.996649972894339209e-02,2.059871205099725842e-03
1.082970413730219988e-01,9.859729314967101681e-04
1.166275830171006195e-01,1.042936571225686927e-03
1.249581246611792262e-01,6.294005942183195264e-04
1.332886663052578469e-01,1.745707522502416484e-04
1.416192079493364675e-01,3.374584703445736799e-04
1.499497495934150604e-01,2.010264269738447178e-04
1.582802912374936810e-01,4.901450178680705119e-04
1.666108328815723016e-01,7.897804623042721387e-04
1.749413745256509223e-01,1.041611900546518662e-03
1.832719161697295152e-01,2.704178694512002819e-04
1.916024578138081358e-01,4.732395795951874640e-04
1.999329994578867842e-01,4.257441071815762585e-04
2.082635411019653771e-01,6.198604425178654139e-04
2.165940827460439977e-01,1.155449206699370879e-04
2.249246243901225906e-01,5.551225910405518027e-04
2.332551660342012390e-01,4.964137888038101581e-04
2.415857076782798318e-01,9.812856732903170887e-04
2.499162493223584525e-01,7.763190753996706975e-04
2.582467909664370453e-01,1.207865745781287444e-03
2.665773326105156937e-01,3.499626168720370613e-04
2.749078742545943421e-01,4.658910514751382951e-04
2.832384158986729350e-01,8.004760934226259157e-04
2.915689575427515279e-01,1.671561027985555073e-03
2.998994991868301208e-01,9.176706578828376041e-04
3.082300408309087691e-01,9.755768696689576421e-05
3.165605824749873620e-01,4.319640155004770546e-04
3.248911241190660104e-01,8.772946510394679211e-04
3.332216657631446033e-01,4.415609597561055027e-04
3.415522074072232517e-01,5.184812549095536415e-04
3.498827490513018446e-01,9.456060404998960656e-04
3.582132906953804374e-01,1.187680687974831820e-03
3.665438323394590303e-01,1.439995834186185092e-03
3.748743739835376787e-01,1.673039572211029074e-03
3.832049156276162716e-01,1.006997156399747247e-03
3.915354572716949200e-01,1.829911370020625722e-03
3.998659989157735684e-01,3.515887617459577483e-03
4.081965405598521612e-01,3.260697681359526860e-03
4.165270822039307541e-01,5.805333216770226313e-04
4.248576238480094025e-01,7.568090690010636492e-04
4.331881654920879954e-01,9.981555430160914295e-04
4.415187071361665883e-01,4.099026402304039771e-04
4.498492487802451811e-01,7.133813717158572244e-04
4.581797904243238850e-01,4.746518201466333659e-04
4.665103320684024779e-01,1.081817940041997043e-03
4.748408737124810708e-01,1.670225118403714576e-03
4.831714153565596637e-01,6.331063467921302021e-04
4.915019570006383121e-01,8.049666013491176952e-04
4.998324986447169049e-01,2.176365737268321572e-04
5.081630402887955533e-01,2.557879471371430160e-04
5.164935819328740907e-01,1.225427987077584669e-03
5.248241235769527391e-01,9.180876047984960547e-04
5.331546652210313875e-01,3.395145550531536286e-04
5.414852068651099248e-01,9.431159540554828486e-04
5.498157485091886842e-01,4.802030133266555986e-04
5.581462901532672216e-01,3.655179483976095682e-04
5.664768317973458700e-01,2.466602342688836973e-04
5.748073734414244074e-01,6.246504996699356674e-04
5.831379150855030558e-01,3.514798862858402101e-04
5.914684567295817041e-01,7.317239842840522540e-04
5.997989983736602415e-01,6.287381470821028955e-04
6.081295400177388899e-01,1.559799089286225066e-03
6.164600816618175383e-01,1.200921078541482539e-03
6.247906233058961867e-01,4.719473453092792306e-04
6.331211649499747240e-01,7.031132191934896412e-04
6.414517065940533724e-01,1.773563867472592375e-03
6.497822482381320208e-01,1.782595980816988870e-04
6.581127898822105582e-01,9.487181200475980347e-04
6.664433315262892066e-01,3.902609518754342351e-04
6.747738731703678550e-01,4.738739791166868514e-04
6.831044148144465034e-01,1.472770396080816564e-03
6.914349564585250407e-01,1.354338625813880388e-03
6.997654981026036891e-01,1.380016301196388328e-03
7.080960397466823375e-01,8.118914839331288361e-04
7.164265813907608749e-01,5.334117641444621359e-04
7.247571230348395233e-01,1.237159251539518209e-03
7.330876646789180606e-01,8.800321547027028981e-04
7.414182063229968200e-01,9.669698938117886116e-04
7.497487479670753574e-01,1.197090036957087393e-03
7.580792896111540058e-01,1.066615110927217639e-03
7.664098312552325432e-01,3.376490770001524351e-04
7.747403728993111915e-01,7.272072089024776784e-04
7.830709145433898399e-01,3.413189855175701262e-04
7.914014561874683773e-01,1.282220138447228873e-03
7.997319978315471367e-01,1.207664382901975537e-03
8.080625394756255631e-01,9.322609293982555894e-05
8.163930811197043225e-01,1.473341733991611604e-03
8.247236227637829709e-01,4.364727595259000506e-04
8.330541644078615082e-01,8.279817602281033286e-04
8.413847060519401566e-01,1.417941303282909240e-03
8.497152476960188050e-01,8.956571686574079250e-04
8.580457893400973424e-01,2.518972519317872849e-04
8.663763309841759908e-01,8.918415257567315416e-04
8.747068726282545281e-01,1.419733924055661045e-03
8.830374142723331765e-01,2.372477498612218089e-04
8.913679559164118249e-01,4.716115585868517219e-04
8.996984975604903623e-01,1.730025977795589124e-03
9.080290392045690107e-01,6.057556024448064198e-04
9.163595808486477701e-01,1.770408866275866559e-05
9.246901224927261964e-01,3.923356370152106579e-04
9.330206641368049558e-01,6.517867409270156065e-04
9.413512057808836042e-01,5.472812572317603541e-04
9.496817474249621416e-01,9.081766532737052186e-04
9.580122890690407900e-01,9.134251718645215734e-04
9.663428307131193273e-01,1.169902564306195747e-03
9.746733723571979757e-01,1.077923782594374016e-03
9.830039140012766241e-01,1.219683206916642292e-03
9.913344556453551615e-01,1.069385476030387588e-03
9.996649972894338099e-01,7.923146627480622851e-04
1.007995538933512458e+00,9.786698560333344319e-04
1.016326080577591107e+00,1.055624612574871052e-03
1.024656622221669755e+00,5.294400459173908202e-04
1.032987163865748181e+00,1.432656698884402641e-03
1.041317705509826830e+00,5.383322300531752759e-04
1.049648247153905478e+00,1.451647924848989630e-03
1.057978788797984127e+00,8.561740007459813125e-04
1.066309330442062775e+00,8.032933903127406324e-04
1.074639872086141423e+00,5.613827803522988651e-04
1.082970413730219850e+00,1.159458407943232943e-03
1.091300955374298498e+00,9.023203631281415636e-04
1.099631497018377368e+00,1.291353744366355956e-03
1.107962038662455795e+00,1.577809027688397260e-03
1.116292580306534443e+00,1.053642175418443259e-03
1.124623121950612870e+00,1.783993082080184440e-03
1.132953663594691740e+00,1.766040953725935437e-03
1.141284205238770388e+00,2.026603710032769644e-03
1.149614746882848815e+00,1.252399183250952350e-03
1.157945288526927463e+00,1.169974581775151548e-03
1.166275830171006112e+00,3.135380786272356146e-04
1.174606371815084760e+00,1.191104815624305846e-03
1.182936913459163408e+00,4.534774699070932532e-04
1.191267455103241835e+00,1.083922362462561018e-03
1.199597996747320483e+00,8.969427020796181486e-04
1.207928538391399131e+00,7.647687598775549560e-04
1.216259080035477780e+00,1.355557414766749447e-03
1.224589621679556428e+00,1.208679009614315250e-03
1.232920163323635077e+00,2.391664419516585476e-03
1.241250704967713503e+00,6.064492769258536748e-04
1.249581246611792373e+00,5.514580819743845333e-04
1.257911788255871022e+00,1.570158081484348015e-03
1.266242329899949448e+00,5.893969058815881189e-04
1.274572871544028096e+00,1.399392666804453404e-03
1.282903413188106745e+00,6.368232765362447610e-04
1.291233954832185393e+00,9.717496024016696130e-04
1.299564496476264042e+00,8.470304293164569774e-04
1.307895038120342468e+00,6.112543954047340057e-04
1.316225579764421116e+00,1.087159093666035083e-03
1.324556121408499765e+00,3.797674666884694834e-04
1.332886663052578413e+00,1.152358948628223094e-03
1.341217204696657062e+00,2.800972727799983571e-03
1.349547746340735710e+00,1.174806116462492889e-03
1.357878287984814136e+00,1.165572763811081793e-03
1.366208829628893007e+00,1.228980371986307602e-03
1.374539371272971433e+00,1.329549692314987638e-03
1.382869912917050081e+00,1.540328964925958676e-03
1.391200454561128730e+00,1.526232379272216043e-03
1.399530996205207378e+00,2.768741458563090513e-04
1.407861537849286027e+00,1.546748020688211911e-03
1.416192079493364675e+00,1.938397609031857838e-03
1.424522621137443101e+00,1.472031939294169735e-03
1.432853162781521750e+00,6.217325202956371435e-04
1.441183704425600398e+00,6.086934047491932486e-04
1.449514246069679047e+00,1.514887808570179045e-03
1.457844787713757695e+00,1.044691321060030060e-03
1.466175329357836121e+00,1.450746802663774359e-03
1.474505871001914770e+00,1.419659616473804061e-03
1.482836412645993640e+00,1.604864024647286933e-03
1.491166954290072066e+00,1.687758356914400302e-03
1.499497495934150715e+00,1.522782408445234100e-03
1.507828037578229363e+00,7.692550459578728628e-04
1.516158579222308012e+00,2.470073109069935088e-03
1.524489120866386660e+00,1.428878028794735655e-03
1.532819662510465086e+00,1.628577616118957044e-03
1.541150204154543735e+00,1.632800250656610708e-03
1.549480745798622383e+00,1.305985305288056729e-03
1.557811287442701031e+00,1.427198710443359489e-03
1.566141829086779680e+00,1.534964658653867548e-03
1.574472370730858106e+00,6.208658221979692802e-04
1.582802912374936755e+00,1.573218631277814236e-03
1.591133454019015403e+00,1.544672960316323396e-03
1.599463995663094273e+00,1.688136837164185867e-03
1.607794537307172922e+00,1.551650052583121138e-03
1.616125078951251126e+00,5.983621042590977351e-04
1.624455620595329775e+00,5.031736619402618150e-04
1.632786162239408645e+00,1.992972061020319846e-03
1.641116703883487293e+00,1.862055690936266147e-03
1.649447245527565942e+00,1.526644740491848139e-03
1.657777787171644146e+00,1.291590384300001122e-03
1.666108328815723016e+00,1.747834658014157895e-03
1.674438870459801665e+00,1.991441423739072954e-03
1.682769412103880313e+00,1.339034046272916069e-03
1.691099953747958962e+00,2.317256755071285621e-03
1.699430495392037610e+00,1.447030351632703831e-03
1.707761037036116036e+00,2.109870517951186516e-03
1.716091578680194685e+00,1.244728234005929067e-03
1.724422120324273333e+00,1.688718918408919738e-03
1.732752661968351982e+00,2.341197970527418570e-03
1.741083203612430630e+00,2.874549328138439712e-03
1.749413745256509056e+00,6.366913795487498442e-04
1.757744286900587705e+00,1.675365933466231669e-03
1.766074828544666353e+00,2.236524251691716664e-03
1.774405370188745001e+00,2.238701221379732313e-03
1.782735911832823650e+00,2.319230251996562756e-03
1.791066453476902298e+00,2.501442150599026294e-03
1.799396995120980725e+00,1.590593327857033360e-03
1.807727536765059373e+00,1.153859131584240600e-03
1.816058078409138021e+00,1.859266097691849228e-03
1.824388620053216670e+00,2.172431678391049340e-03
1.832719161697295540e+00,1.521250831060226311e-03
1.841049703341373744e+00,1.708977405085103244e-03
1.849380244985452393e+00,3.354402733746365568e-03
1.857710786629531041e+00,1.928309597410682568e-03
1.866041328273609912e+00,2.989487670379648802e-03
1.874371869917688560e+00,2.266298818507905041e-03
1.882702411561767208e+00,2.275627672774445213e-03
1.891032953205845413e+00,3.057313709670694043e-03
1.899363494849924283e+00,2.015616532311094965e-03
1.907694036494002932e+00,1.784073060385109408e-03
1.916024578138081580e+00,1.875347576977560863e-03
1.924355119782160228e+00,3.337642657681605830e-03
1.932685661426238655e+00,2.669423325130415841e-03
1.941016203070317303e+00,1.768675213274446649e-03
1.949346744714395951e+00,1.510501333851705427e-03
1.957677286358474600e+00,2.265218798912849336e-03
1.966007828002553248e+00,1.538948676700510132e-03
1.974338369646631675e+00,1.623586457117115424e-03
1.982668911290710323e+00,3.406274820433037847e-03
1.990999452934788971e+00,2.469992522713856855e-03
1.999329994578867620e+00,1.653151218266801607e-03
2.007660536222946490e+00,1.730151277634582509e-03
2.015991077867024917e+00,2.543107489030459537e-03
2.024321619511103343e+00,2.584344221370963798e-03
2.032652161155182213e+00,1.938821627699940930e-03
2.040982702799260640e+00,2.608418656702366032e-03
2.049313244443339510e+00,2.609617671073810510e-03
2.057643786087417936e+00,2.195145396508408047e-03
2.065974327731496363e+00,1.837452355125365798e-03
2.074304869375575233e+00,3.041636898318466828e-03
2.082635411019653660e+00,1.612642184725394555e-03
2.090965952663732530e+00,1.532295571115058598e-03
2.099296494307810956e+00,1.964120849451109901e-03
2.107627035951889827e+00,3.050479840080400681e-03
2.115957577595968253e+00,2.908259266909556801e-03
2.124288119240046679e+00,1.676126221619469525e-03
2.132618660884125550e+00,3.247807747136656053e-03
2.140949202528203976e+00,2.281858242195975838e-03
2.149279744172282847e+00,3.037069880267936547e-03
2.157610285816361273e+00,2.157201907136157941e-03
2.165940827460439699e+00,2.953803406665717664e-03
2.174271369104518570e+00,2.778202923182962383e-03
2.182601910748596996e+00,1.795883266965963947e-03
2.190932452392675867e+00,2.904575845815398575e-03
2.199262994036754737e+00,2.699150118489280874e-03
2.207593535680832719e+00,2.677811434395937617e-03
